dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
ingv,ECPN,sim3,template3,0.24422212324425605,0.6566318946865405,0.6365461141884021,0.4659148213789648,11.689870647075892,False,False,False
ingv,ECPN,sim3,template2,0.44844736125254875,0.3161618427833473,0.3133892124004639,0.3689879194166792,33.47536847118293,False,False,False
ingv,ECPN,sim1,template2,0.12355637707582799,0.5247827670224376,0.5267678006677289,0.3915863433056258,32.27627042886424,False,False,True
ingv,ECPN,sim4,template2,0.23326164201945881,0.5295409463039729,0.5259195694435016,0.39803210932037364,146.81165973234812,False,False,False
ingv,ECPN,sim3,template2,0.3890363204686144,0.08813203188695279,0.08411459783421547,0.30068294752727565,65.81304451726184,False,False,False
ingv,ECPN,sim4,template3,0.3543469904566271,0.500563726320103,0.4971575964329437,0.4682753308288907,160.41838961846466,False,False,False
ingv,ECPN,sim4,template2,0.452613824914313,0.31515667704882977,0.2673689212661853,0.3887691979906961,127.78995982434907,False,False,False
ingv,ECPN,sim4,template2,0.4986527367670536,0.04617375197210671,0.045675443261141625,0.39397680507113103,76.99082368010404,False,False,False
ingv,ECPN,sim3,template3,0.13923213173214932,0.5102821380991786,0.5180137453622482,0.3560996877162542,151.68505794009596,False,False,False
ingv,ECPN,sim3,template2,0.05991260523114294,0.4373978742744536,0.43680221157304977,0.3478482431477312,157.7923262525526,False,False,False
ingv,ECPN,sim3,template3,0.5073702394049685,0.16144992067997418,0.15970325627087711,0.3524306014374345,82.07959032303036,False,False,False
ingv,ECPN,sim1,template2,0.39572238895494316,0.0625716803057048,0.12525349969328156,0.3135115766840468,117.98384731434344,False,False,False
ingv,ECPN,sim1,template3,0.03417443582457939,0.3799170136056133,0.376859431217052,0.3085548845143403,24.000168186131845,False,False,False
ingv,ECPN,sim1,template3,0.31739662239288535,0.40854235446194787,0.4088314085196261,0.3792895830202789,16.61638431310301,False,False,False
ingv,ECPN,sim3,template1,0.0008734624252079624,0.3851529119423682,0.38495205670070126,0.3172714855786645,20.53614573494986,False,False,False
ingv,ECPN,sim3,template3,0.39893583327348886,0.35278970089110956,0.35260514408550075,0.3645328596125552,137.28134524776598,False,False,False
ingv,ECPN,sim1,template3,0.4178799030897559,0.11867663722542346,0.11996309183262968,0.31931918684083305,51.816900706980036,False,False,False
ingv,ECPN,sim3,template3,0.4121021669777945,0.06544195516982722,0.015937754862520644,0.32420132129334833,109.57806456712188,False,False,False
ingv,EEC1,sim1,template3,0.3797152299805215,0.23640947441184954,0.2669657332190982,0.35725238074722193,102.05163498241014,False,False,False
ingv,EEC1,sim1,template1,0.25741710765700326,0.26546254248510914,0.15268682243360074,0.30122964380733863,114.32784945791009,False,False,False
ingv,EEC1,sim4,template3,0.10143647388251145,0.5320835414057831,0.38875367077826756,0.38051824892536074,168.02424016476095,False,True,False
ingv,EEC1,sim2,template1,0.327198450882504,0.21081335315163466,0.09669821599785028,0.2804693468713839,120.63251445048913,False,False,False
ingv,EEC1,sim3,template1,0.3411665042046972,0.25471036962119914,0.11416872583506776,0.3143556231814164,122.17260090904992,False,False,False
ingv,EEC1,sim3,template2,0.3095495100725845,0.1700268465222829,0.16831983984812215,0.26625070497937176,58.31548220819927,False,False,False
ingv,EEC1,sim4,template1,0.4025842324469258,0.24636613935134588,0.24331827651533003,0.3518389633538399,97.10702530589896,False,False,False
ingv,EEC1,sim4,template1,0.3018625174318505,0.42001650517777755,0.16662350597633147,0.3807898171795281,129.578898552682,False,False,False
ingv,EEC1,sim1,template2,0.03704434488455493,0.40246613890403937,0.2280523594667206,0.2727852125835072,17.518042362536168,False,False,False
ingv,EEC1,sim3,template2,0.3352339633777157,0.22874323310982522,0.06608506056373084,0.30775443264480556,52.52108633888033,False,False,False
ingv,EEC1,sim3,template3,0.0945230924226095,0.39503949646703396,0.23410760993079785,0.27997984802085546,101.41595723840749,False,False,False
ingv,EEC1,sim4,template1,0.5784350000330333,0.11728975932714468,0.15830323033741203,0.5519506765915454,117.79428915218944,True,False,False
ingv,EEC1,sim2,template1,0.37141150614467583,0.07972344050487089,0.25686392011813036,0.28571732672266875,40.52995237196259,False,False,False
